,SPEND,CLICKS,IMPRESSIONS,SEARCH_IMPRESSION_SHARE,CPC,ELIGIBLE_IMPRESSIONS,lag_SPEND,lag_CLICKS,lag_IMPRESSIONS,lag_ELIGIBLE_IMPRESSIONS,rolling_7_SPEND,rolling_14_SPEND,rolling_7_CLICKS,rolling_14_CLICKS,rolling_7_IMPRESSIONS,rolling_14_IMPRESSIONS,rolling_7_ELIGIBLE_IMPRESSIONS,rolling_14_ELIGIBLE_IMPRESSIONS
2022-04-02,782.87,296.0,1625.0,1.04,2.644831081081081,1562.5,536.61,277.0,1391.0,1830.2631578947369,5727.132857142858,11655.186428571427,407.85714285714283,732.9285714285714,2212.285714285714,4062.5714285714284,1648.7671878677509,2617.9167084897786
2022-04-03,2687.42,476.0,1949.0,1.33,5.645840336134454,1465.4135338345864,782.87,296.0,1625.0,1562.5,4395.551428571429,10978.842142857144,400.0,716.9285714285714,2063.285714285714,3931.5714285714284,1608.1537495099515,2566.3958750270967
2022-04-04,6557.73,712.0,3970.0,1.23,9.210294943820225,3227.642276422764,2687.42,476.0,1949.0,1465.4135338345864,2595.664285714286,9867.79357142857,324.7142857142857,676.5,1725.142857142857,3713.9285714285716,1506.9562397531324,2489.448325095856
2022-04-05,6107.56,586.0,3302.0,0.99,10.42245733788396,3335.353535353536,6557.73,712.0,3970.0,3227.642276422764,2383.195714285714,8882.755,338.2857142857143,626.6428571428571,1798.5714285714287,3429.285714285714,1696.8988311345731,2402.3753633353945
2022-04-06,4845.57,491.0,2710.0,0.94,9.868778004073318,2882.978723404255,6107.56,586.0,3302.0,3335.353535353536,3074.745714285714,7771.999999999999,407.2857142857143,569.5,2156.8571428571427,3100.0,2069.756795481899,2295.2143055118318
2022-04-07,4249.28,410.0,2651.0,1.05,10.364097560975608,2524.7619047619046,4845.57,491.0,2710.0,2882.978723404255,3681.0057142857145,6631.582142857143,464.0,511.57142857142856,2514.0,2785.785714285714,2404.130447381683,2166.6149148353156
2022-04-08,6293.29,625.0,3158.0,1.51,10.069264,2091.390728476821,4249.28,410.0,2651.0,2524.7619047619046,4503.388571428571,5888.410714285715,513.7142857142857,479.35714285714283,2766.4285714285716,2586.0,2441.434386036267,2055.0446645030293
2022-04-09,3859.92,322.0,1568.0,1.24,11.987329192546584,1264.516129032258,6293.29,625.0,3158.0,2091.390728476821,4942.967142857143,5335.05,517.4285714285714,462.64285714285717,2758.285714285714,2485.285714285714,2398.8652616123036,2023.816224740027
2022-04-10,3671.29,364.0,1666.0,1.4,10.085961538461538,1190.0,3859.92,322.0,1568.0,1264.516129032258,5083.5199999999995,4739.535714285715,501.42857142857144,450.7142857142857,2717.8571428571427,2390.5714285714284,2359.5204710645053,1983.8371102872284
2022-04-11,4762.786666666667,448.3333333333333,2164.8333333333335,1.4849999999999999,10.362874078986147,1398.2111692844678,5857.451666666667,485.0,2553.3333333333335,1703.0689964157707,6812.031666666666,5649.409523809524,627.9761904761905,523.7738095238095,3467.023809523809,2823.0714285714284,2612.667231352541,2176.3031164397753
2022-04-12,5854.283333333333,532.6666666666666,2663.6666666666665,1.5699999999999998,10.639786619510756,1606.4223385689354,7854.983333333334,648.0,3538.666666666667,2141.6218637992833,8540.543333333333,6559.283333333334,754.5238095238095,596.8333333333334,4216.190476190476,3255.5714285714284,2865.813991640576,2368.7691225923227
2022-04-13,6945.78,617.0,3162.5,1.6549999999999998,10.916699160035368,1814.6335078534032,9852.515,811.0,4524.0,2580.1747311827958,10269.055,7469.157142857144,881.0714285714287,669.8928571428571,4965.357142857143,3688.0714285714284,3118.960751928612,2561.23512874487
2022-04-14,8037.276666666667,701.3333333333333,3661.333333333333,1.74,11.193611700559977,2022.8446771378708,11850.046666666667,974.0,5509.333333333334,3018.727598566308,11997.566666666666,8379.030952380954,1007.6190476190477,742.952380952381,5714.523809523809,4120.571428571428,3372.1075122166476,2753.701134897417
2022-04-15,9128.773333333334,785.6666666666666,4160.166666666666,1.825,11.470524241084586,2231.0558464223386,13847.578333333333,1137.0,6494.666666666667,3457.280465949821,13726.078333333331,9288.904761904763,1134.1666666666667,816.0119047619048,6463.690476190475,4553.071428571428,3625.2542725046833,2946.167141049964
2022-04-16,10220.27,870.0,4659.0,1.91,11.747436781609196,2439.2670157068064,15845.11,1300.0,7480.0,3895.8333333333335,15454.59,10198.778571428573,1260.7142857142858,889.0714285714286,7212.857142857143,4985.571428571428,3878.4010327927185,3138.6331472025113
2022-04-17,8382.140000000001,701.0,4291.0,1.91,11.957403708987163,2246.5968586387435,10220.27,870.0,4659.0,2439.2670157068064,16127.568571428574,10605.544285714286,1308.857142857143,905.1428571428571,7587.857142857143,5152.857142857143,4029.343441169682,3194.4319561170937
2022-04-18,8689.718,712.4,4474.6,1.8659999999999999,12.183345130778122,2413.7271910530067,11611.776,968.4,5541.4,2886.568251740703,15676.107142857145,11326.058428571429,1273.1714285714286,955.4,7508.714285714286,5518.628571428571,3983.8287209473337,3306.7804966548188
2022-04-19,8997.296,723.8,4658.2,1.8219999999999998,12.409286552569078,2580.85752346727,13003.282,1066.8,6423.8,3333.8694877745993,15224.645714285716,12046.572571428573,1237.4857142857143,1005.6571428571428,7429.571428571428,5884.4,3938.3140007249854,3419.129037192544
2022-04-20,9304.874000000002,735.2,4841.8,1.778,12.635227974360037,2747.987855881533,14394.788,1165.2,7306.2,3781.170723808496,14773.184285714287,12767.086714285715,1201.8,1055.9142857142856,7350.428571428572,6250.171428571428,3892.799280502637,3531.477577730269
2022-04-21,9612.452000000001,746.6,5025.4,1.734,12.861169396150993,2915.1181882957962,15786.294,1263.6,8188.6,4228.471959842393,14321.722857142857,13487.600857142857,1166.1142857142856,1106.1714285714286,7271.285714285714,6615.942857142857,3847.2845602802886,3643.826118267994
2022-04-22,9920.03,758.0,5209.0,1.69,13.087110817941952,3082.2485207100594,17177.8,1362.0,9071.0,4675.773195876289,13870.261428571428,14208.115000000002,1130.4285714285713,1156.4285714285713,7192.142857142857,6981.714285714285,3801.76984005794,3756.174658805719
2022-04-23,6527.61,511.0,2415.0,1.5,12.774187866927592,1610.0,9920.03,758.0,5209.0,3082.2485207100594,13342.738571428572,14398.664285714285,1079.142857142857,1169.9285714285713,6871.571428571428,7042.214285714285,3683.3031235283966,3780.852078160558
2022-04-24,6219.63,549.0,2780.0,1.5699999999999998,11.329016393442624,1770.7006369426754,6527.61,511.0,2415.0,1610.0,13033.80857142857,14580.688571428573,1057.4285714285713,1183.142857142857,6655.714285714285,7121.785714285715,3615.3179490003868,3822.3306950850347
2022-04-25,9079.54,721.0,4487.0,1.32,12.592981969486823,3399.242424242424,6219.63,549.0,2780.0,1770.7006369426754,11878.967142857144,13943.960714285715,969.2857142857143,1139.7857142857142,6095.285714285715,6911.0,3468.5931825387784,3774.813662936855
